id,kategori,sub_kategori,pertanyaan,opsiA,opsiB,opsiC,opsiD,kunci
76,Potensi Psikologis,Logika Analitik,(Kecamatan Z) Anda menerima dua penugasan prioritas terkait verifikasi SIMBG dengan batas waktu yang sama. Langkah pertama yang paling tepat adalah ....,Menjalankan salah satu penugasan tanpa komunikasi,Menunggu arahan atasan secara rinci,"Menyusun skala prioritas berdasar urgensi, dampak, dan sumber daya",Mendelegasikan seluruh penugasan ke rekan lain,C
77,Potensi Psikologis,Penalaran Verbal,(Desa 1) Dari sebuah pernyataan dinas disebutkan bahwa 'setiap bangunan layak huni harus memiliki akses air bersih'. Kesimpulan yang tepat adalah ....,Semua bangunan tanpa akses air bersih pasti tidak layak huni,Akses air bersih belum cukup untuk memenuhi seluruh kriteria kelayakan,Bangunan dengan akses air bersih selalu layak huni,Sebagian bangunan tanpa akses air bersih tetap dapat layak huni,B
78,Potensi Psikologis,Berpikir Sistem,"(Desa 2) Dalam penyusunan site plan, terdapat keterkaitan drainase, akses jalan, dan zonasi. Pendekatan paling tepat untuk mengoptimalkan keseluruhan sistem adalah ....",Menunda keputusan sampai semua data sempurna,Fokus satu komponen dan abaikan lainnya,Menganalisis keterkaitan antar komponen dan melakukan penyesuaian iteratif,Mengoptimalkan komponen termudah terlebih dahulu,C
79,Potensi Psikologis,Penalaran Numerik,"(Desa 3) Jika 10 pekerja menyelesaikan pembangunan rumah dalam 15 hari, maka 5 pekerja dengan kemampuan sama akan menyelesaikannya dalam waktu ....",34 hari,32 hari,30 hari,28 hari,C
80,Potensi Psikologis,Berpikir Sistem,"(Desa 4) Dalam penyusunan site plan, terdapat keterkaitan drainase, akses jalan, dan zonasi. Pendekatan paling tepat untuk mengoptimalkan keseluruhan sistem adalah ....",Menganalisis keterkaitan antar komponen dan melakukan penyesuaian iteratif,Fokus satu komponen dan abaikan lainnya,Mengoptimalkan komponen termudah terlebih dahulu,Menunda keputusan sampai semua data sempurna,A
81,Potensi Psikologis,Berpikir Sistem,"(Kelurahan A) Dalam penyusunan site plan, terdapat keterkaitan drainase, akses jalan, dan zonasi. Pendekatan paling tepat untuk mengoptimalkan keseluruhan sistem adalah ....",Fokus satu komponen dan abaikan lainnya,Menganalisis keterkaitan antar komponen dan melakukan penyesuaian iteratif,Menunda keputusan sampai semua data sempurna,Mengoptimalkan komponen termudah terlebih dahulu,B
82,Potensi Psikologis,Logika Analitik,(Kelurahan B) Anda menerima dua penugasan prioritas terkait site plan perumahan dengan batas waktu yang sama. Langkah pertama yang paling tepat adalah ....,"Menyusun skala prioritas berdasar urgensi, dampak, dan sumber daya",Menjalankan salah satu penugasan tanpa komunikasi,Mendelegasikan seluruh penugasan ke rekan lain,Menunggu arahan atasan secara rinci,A
83,Potensi Psikologis,Logika Analitik,(Kelurahan C) Anda menerima dua penugasan prioritas terkait sinkronisasi GIS dengan batas waktu yang sama. Langkah pertama yang paling tepat adalah ....,Mendelegasikan seluruh penugasan ke rekan lain,Menunggu arahan atasan secara rinci,"Menyusun skala prioritas berdasar urgensi, dampak, dan sumber daya",Menjalankan salah satu penugasan tanpa komunikasi,C
84,Potensi Psikologis,Penalaran Verbal,(Kecamatan X) Dari sebuah pernyataan dinas disebutkan bahwa 'setiap bangunan layak huni harus memiliki akses air bersih'. Kesimpulan yang tepat adalah ....,Akses air bersih belum cukup untuk memenuhi seluruh kriteria kelayakan,Sebagian bangunan tanpa akses air bersih tetap dapat layak huni,Semua bangunan tanpa akses air bersih pasti tidak layak huni,Bangunan dengan akses air bersih selalu layak huni,A
85,Potensi Psikologis,Penalaran Numerik,"(Kecamatan Y) Jika 12 pekerja menyelesaikan pembangunan rumah dalam 9 hari, maka 6 pekerja dengan kemampuan sama akan menyelesaikannya dalam waktu ....",18 hari,20 hari,16 hari,22 hari,A
86,Potensi Psikologis,Logika Analitik,(Kecamatan Z) Anda menerima dua penugasan prioritas terkait verifikasi SIMBG dengan batas waktu yang sama. Langkah pertama yang paling tepat adalah ....,"Menyusun skala prioritas berdasar urgensi, dampak, dan sumber daya",Mendelegasikan seluruh penugasan ke rekan lain,Menunggu arahan atasan secara rinci,Menjalankan salah satu penugasan tanpa komunikasi,A
87,Potensi Psikologis,Berpikir Sistem,"(Desa 1) Dalam penyusunan site plan, terdapat keterkaitan drainase, akses jalan, dan zonasi. Pendekatan paling tepat untuk mengoptimalkan keseluruhan sistem adalah ....",Mengoptimalkan komponen termudah terlebih dahulu,Menunda keputusan sampai semua data sempurna,Menganalisis keterkaitan antar komponen dan melakukan penyesuaian iteratif,Fokus satu komponen dan abaikan lainnya,C
88,Potensi Psikologis,Logika Analitik,(Desa 2) Anda menerima dua penugasan prioritas terkait sinkronisasi GIS dengan batas waktu yang sama. Langkah pertama yang paling tepat adalah ....,"Menyusun skala prioritas berdasar urgensi, dampak, dan sumber daya",Mendelegasikan seluruh penugasan ke rekan lain,Menunggu arahan atasan secara rinci,Menjalankan salah satu penugasan tanpa komunikasi,A
89,Potensi Psikologis,Logika Analitik,(Desa 3) Anda menerima dua penugasan prioritas terkait pengawasan pekerjaan dengan batas waktu yang sama. Langkah pertama yang paling tepat adalah ....,Mendelegasikan seluruh penugasan ke rekan lain,"Menyusun skala prioritas berdasar urgensi, dampak, dan sumber daya",Menunggu arahan atasan secara rinci,Menjalankan salah satu penugasan tanpa komunikasi,B
90,Potensi Psikologis,Logika Analitik,(Desa 4) Anda menerima dua penugasan prioritas terkait uji material dengan batas waktu yang sama. Langkah pertama yang paling tepat adalah ....,Menunggu arahan atasan secara rinci,"Menyusun skala prioritas berdasar urgensi, dampak, dan sumber daya",Mendelegasikan seluruh penugasan ke rekan lain,Menjalankan salah satu penugasan tanpa komunikasi,B
91,Potensi Psikologis,Penalaran Numerik,"(Kelurahan A) Jika 8 pekerja menyelesaikan pembangunan rumah dalam 12 hari, maka 6 pekerja dengan kemampuan sama akan menyelesaikannya dalam waktu ....",20 hari,14 hari,16 hari,18 hari,C
92,Potensi Psikologis,Penalaran Numerik,"(Kelurahan B) Jika 6 pekerja menyelesaikan pembangunan rumah dalam 12 hari, maka 4 pekerja dengan kemampuan sama akan menyelesaikannya dalam waktu ....",18 hari,16 hari,22 hari,20 hari,A
93,Potensi Psikologis,Penalaran Verbal,(Kelurahan C) Dari sebuah pernyataan dinas disebutkan bahwa 'setiap bangunan layak huni harus memiliki akses air bersih'. Kesimpulan yang tepat adalah ....,Akses air bersih belum cukup untuk memenuhi seluruh kriteria kelayakan,Semua bangunan tanpa akses air bersih pasti tidak layak huni,Sebagian bangunan tanpa akses air bersih tetap dapat layak huni,Bangunan dengan akses air bersih selalu layak huni,A
94,Potensi Psikologis,Penalaran Numerik,"(Kecamatan X) Jika 10 pekerja menyelesaikan pembangunan rumah dalam 15 hari, maka 5 pekerja dengan kemampuan sama akan menyelesaikannya dalam waktu ....",32 hari,34 hari,30 hari,28 hari,C
95,Potensi Psikologis,Logika Analitik,(Kecamatan Y) Anda menerima dua penugasan prioritas terkait uji material dengan batas waktu yang sama. Langkah pertama yang paling tepat adalah ....,Menunggu arahan atasan secara rinci,Mendelegasikan seluruh penugasan ke rekan lain,Menjalankan salah satu penugasan tanpa komunikasi,"Menyusun skala prioritas berdasar urgensi, dampak, dan sumber daya",D
96,Potensi Psikologis,Penalaran Verbal,(Kecamatan Z) Dari sebuah pernyataan dinas disebutkan bahwa 'setiap bangunan layak huni harus memiliki akses air bersih'. Kesimpulan yang tepat adalah ....,Bangunan dengan akses air bersih selalu layak huni,Sebagian bangunan tanpa akses air bersih tetap dapat layak huni,Semua bangunan tanpa akses air bersih pasti tidak layak huni,Akses air bersih belum cukup untuk memenuhi seluruh kriteria kelayakan,D
97,Potensi Psikologis,Berpikir Sistem,"(Desa 1) Dalam penyusunan site plan, terdapat keterkaitan drainase, akses jalan, dan zonasi. Pendekatan paling tepat untuk mengoptimalkan keseluruhan sistem adalah ....",Fokus satu komponen dan abaikan lainnya,Menganalisis keterkaitan antar komponen dan melakukan penyesuaian iteratif,Mengoptimalkan komponen termudah terlebih dahulu,Menunda keputusan sampai semua data sempurna,B
98,Potensi Psikologis,Penalaran Verbal,(Desa 2) Dari sebuah pernyataan dinas disebutkan bahwa 'setiap bangunan layak huni harus memiliki akses air bersih'. Kesimpulan yang tepat adalah ....,Bangunan dengan akses air bersih selalu layak huni,Semua bangunan tanpa akses air bersih pasti tidak layak huni,Akses air bersih belum cukup untuk memenuhi seluruh kriteria kelayakan,Sebagian bangunan tanpa akses air bersih tetap dapat layak huni,C
99,Potensi Psikologis,Penalaran Verbal,(Desa 3) Dari sebuah pernyataan dinas disebutkan bahwa 'setiap bangunan layak huni harus memiliki akses air bersih'. Kesimpulan yang tepat adalah ....,Bangunan dengan akses air bersih selalu layak huni,Semua bangunan tanpa akses air bersih pasti tidak layak huni,Sebagian bangunan tanpa akses air bersih tetap dapat layak huni,Akses air bersih belum cukup untuk memenuhi seluruh kriteria kelayakan,D
100,Potensi Psikologis,Penalaran Verbal,(Desa 4) Dari sebuah pernyataan dinas disebutkan bahwa 'setiap bangunan layak huni harus memiliki akses air bersih'. Kesimpulan yang tepat adalah ....,Bangunan dengan akses air bersih selalu layak huni,Sebagian bangunan tanpa akses air bersih tetap dapat layak huni,Akses air bersih belum cukup untuk memenuhi seluruh kriteria kelayakan,Semua bangunan tanpa akses air bersih pasti tidak layak huni,C
101,Kompetensi Manajerial,Kolaborasi,"(Kelurahan A) Untuk percepatan verifikasi SIMBG, diperlukan keterlibatan beberapa pihak. Upaya kolaborasi awal yang tepat adalah ....",Menunggu pihak lain menginisiasi,Menentukan pembagian kerja sepihak,Menyusun surat tugas tanpa diskusi,Pertemuan lintas pihak untuk menyamakan tujuan dan peran,D
102,Kompetensi Manajerial,Inovasi,(Kelurahan B) Anda mengusulkan pemanfaatan aplikasi digital untuk site plan perumahan. Langkah awal inovasi yang tepat adalah ....,Menerapkan langsung tanpa pelatihan,"Membuat prototipe kecil, uji terbatas, dan evaluasi",Membeli lisensi termahal,Menunggu arahan pusat,B
103,Kompetensi Manajerial,Orientasi Hasil,(Kelurahan C) Target sinkronisasi GIS terancam tidak tercapai. Fokus tindakan paling tepat adalah ....,Menambah jam kerja tanpa evaluasi,Menyalahkan tim agar lebih disiplin,Mengurangi ruang lingkup agar terlihat tercapai,Menganalisis hambatan kunci dan menyusun rencana pemulihan terukur,D
104,Kompetensi Manajerial,Integritas,(Kecamatan X) Anda menemukan ketidaksesuaian data pada laporan pengawasan pekerjaan. Tindakan paling tepat adalah ....,Meminta klarifikasi dan perbaikan disertai penelusuran penyebab,Mengumumkan temuan ke media sosial,Mengabaikan karena target hampir tercapai,Menghapus bagian data yang salah tanpa pencatatan,A
105,Kompetensi Manajerial,Pengambilan Keputusan,(Kecamatan Y) Terdapat perbedaan rekomendasi teknis terkait uji material. Langkah Anda adalah ....,Mengikuti yang paling senior,"Menghimpun data tambahan, menilai risiko, dan memutuskan objektif",Memilih rekomendasi tercepat,Menunda hingga ada instruksi pimpinan,B
106,Kompetensi Manajerial,Pengambilan Keputusan,(Kecamatan Z) Terdapat perbedaan rekomendasi teknis terkait verifikasi SIMBG. Langkah Anda adalah ....,Memilih rekomendasi tercepat,"Menghimpun data tambahan, menilai risiko, dan memutuskan objektif",Menunda hingga ada instruksi pimpinan,Mengikuti yang paling senior,B
107,Kompetensi Manajerial,Kepemimpinan,(Desa 1) Anggota tim kesulitan menyelesaikan tugas site plan perumahan. Sikap pemimpin yang tepat adalah ....,Mendelegasikan tugas ke pihak luar,Membiarkan agar belajar mandiri,"Memberi bimbingan, dukungan sumber daya, dan memantau progres",Menegur keras agar disiplin,C
108,Kompetensi Manajerial,Pengambilan Keputusan,(Desa 2) Terdapat perbedaan rekomendasi teknis terkait sinkronisasi GIS. Langkah Anda adalah ....,Mengikuti yang paling senior,Menunda hingga ada instruksi pimpinan,Memilih rekomendasi tercepat,"Menghimpun data tambahan, menilai risiko, dan memutuskan objektif",D
109,Kompetensi Manajerial,Kolaborasi,"(Desa 3) Untuk percepatan pengawasan pekerjaan, diperlukan keterlibatan beberapa pihak. Upaya kolaborasi awal yang tepat adalah ....",Menunggu pihak lain menginisiasi,Menentukan pembagian kerja sepihak,Pertemuan lintas pihak untuk menyamakan tujuan dan peran,Menyusun surat tugas tanpa diskusi,C
110,Kompetensi Manajerial,Orientasi Hasil,(Desa 4) Target uji material terancam tidak tercapai. Fokus tindakan paling tepat adalah ....,Menyalahkan tim agar lebih disiplin,Mengurangi ruang lingkup agar terlihat tercapai,Menambah jam kerja tanpa evaluasi,Menganalisis hambatan kunci dan menyusun rencana pemulihan terukur,D
111,Kompetensi Manajerial,Integritas,(Kelurahan A) Anda menemukan ketidaksesuaian data pada laporan verifikasi SIMBG. Tindakan paling tepat adalah ....,Meminta klarifikasi dan perbaikan disertai penelusuran penyebab,Menghapus bagian data yang salah tanpa pencatatan,Mengabaikan karena target hampir tercapai,Mengumumkan temuan ke media sosial,A
112,Kompetensi Manajerial,Kolaborasi,"(Kelurahan B) Untuk percepatan site plan perumahan, diperlukan keterlibatan beberapa pihak. Upaya kolaborasi awal yang tepat adalah ....",Menentukan pembagian kerja sepihak,Menunggu pihak lain menginisiasi,Pertemuan lintas pihak untuk menyamakan tujuan dan peran,Menyusun surat tugas tanpa diskusi,C
113,Kompetensi Manajerial,Pengambilan Keputusan,(Kelurahan C) Terdapat perbedaan rekomendasi teknis terkait sinkronisasi GIS. Langkah Anda adalah ....,"Menghimpun data tambahan, menilai risiko, dan memutuskan objektif",Memilih rekomendasi tercepat,Menunda hingga ada instruksi pimpinan,Mengikuti yang paling senior,A
114,Kompetensi Manajerial,Integritas,(Kecamatan X) Anda menemukan ketidaksesuaian data pada laporan pengawasan pekerjaan. Tindakan paling tepat adalah ....,Mengabaikan karena target hampir tercapai,Menghapus bagian data yang salah tanpa pencatatan,Mengumumkan temuan ke media sosial,Meminta klarifikasi dan perbaikan disertai penelusuran penyebab,D
115,Kompetensi Manajerial,Pengambilan Keputusan,(Kecamatan Y) Terdapat perbedaan rekomendasi teknis terkait uji material. Langkah Anda adalah ....,Mengikuti yang paling senior,"Menghimpun data tambahan, menilai risiko, dan memutuskan objektif",Memilih rekomendasi tercepat,Menunda hingga ada instruksi pimpinan,B
116,Kompetensi Manajerial,Inovasi,(Kecamatan Z) Anda mengusulkan pemanfaatan aplikasi digital untuk verifikasi SIMBG. Langkah awal inovasi yang tepat adalah ....,Membeli lisensi termahal,Menunggu arahan pusat,Menerapkan langsung tanpa pelatihan,"Membuat prototipe kecil, uji terbatas, dan evaluasi",D
117,Kompetensi Manajerial,Inovasi,(Desa 1) Anda mengusulkan pemanfaatan aplikasi digital untuk site plan perumahan. Langkah awal inovasi yang tepat adalah ....,Menunggu arahan pusat,Menerapkan langsung tanpa pelatihan,Membeli lisensi termahal,"Membuat prototipe kecil, uji terbatas, dan evaluasi",D
118,Kompetensi Manajerial,Inovasi,(Desa 2) Anda mengusulkan pemanfaatan aplikasi digital untuk sinkronisasi GIS. Langkah awal inovasi yang tepat adalah ....,Menunggu arahan pusat,Membeli lisensi termahal,Menerapkan langsung tanpa pelatihan,"Membuat prototipe kecil, uji terbatas, dan evaluasi",D
119,Kompetensi Manajerial,Integritas,(Desa 3) Anda menemukan ketidaksesuaian data pada laporan pengawasan pekerjaan. Tindakan paling tepat adalah ....,Mengabaikan karena target hampir tercapai,Menghapus bagian data yang salah tanpa pencatatan,Mengumumkan temuan ke media sosial,Meminta klarifikasi dan perbaikan disertai penelusuran penyebab,D
120,Kompetensi Manajerial,Integritas,(Desa 4) Anda menemukan ketidaksesuaian data pada laporan uji material. Tindakan paling tepat adalah ....,Mengumumkan temuan ke media sosial,Mengabaikan karena target hampir tercapai,Meminta klarifikasi dan perbaikan disertai penelusuran penyebab,Menghapus bagian data yang salah tanpa pencatatan,C
121,Kompetensi Manajerial,Inovasi,(Kelurahan A) Anda mengusulkan pemanfaatan aplikasi digital untuk verifikasi SIMBG. Langkah awal inovasi yang tepat adalah ....,"Membuat prototipe kecil, uji terbatas, dan evaluasi",Menunggu arahan pusat,Membeli lisensi termahal,Menerapkan langsung tanpa pelatihan,A
122,Kompetensi Manajerial,Kolaborasi,"(Kelurahan B) Untuk percepatan site plan perumahan, diperlukan keterlibatan beberapa pihak. Upaya kolaborasi awal yang tepat adalah ....",Menunggu pihak lain menginisiasi,Pertemuan lintas pihak untuk menyamakan tujuan dan peran,Menyusun surat tugas tanpa diskusi,Menentukan pembagian kerja sepihak,B
123,Kompetensi Manajerial,Integritas,(Kelurahan C) Anda menemukan ketidaksesuaian data pada laporan sinkronisasi GIS. Tindakan paling tepat adalah ....,Meminta klarifikasi dan perbaikan disertai penelusuran penyebab,Menghapus bagian data yang salah tanpa pencatatan,Mengumumkan temuan ke media sosial,Mengabaikan karena target hampir tercapai,A
124,Kompetensi Manajerial,Inovasi,(Kecamatan X) Anda mengusulkan pemanfaatan aplikasi digital untuk pengawasan pekerjaan. Langkah awal inovasi yang tepat adalah ....,Membeli lisensi termahal,Menerapkan langsung tanpa pelatihan,"Membuat prototipe kecil, uji terbatas, dan evaluasi",Menunggu arahan pusat,C
125,Kompetensi Manajerial,Pengambilan Keputusan,(Kecamatan Y) Terdapat perbedaan rekomendasi teknis terkait uji material. Langkah Anda adalah ....,Menunda hingga ada instruksi pimpinan,Memilih rekomendasi tercepat,Mengikuti yang paling senior,"Menghimpun data tambahan, menilai risiko, dan memutuskan objektif",D
126,Kompetensi Manajerial,Kepemimpinan,(Kecamatan Z) Anggota tim kesulitan menyelesaikan tugas verifikasi SIMBG. Sikap pemimpin yang tepat adalah ....,Menegur keras agar disiplin,Mendelegasikan tugas ke pihak luar,"Memberi bimbingan, dukungan sumber daya, dan memantau progres",Membiarkan agar belajar mandiri,C
127,Kompetensi Manajerial,Integritas,(Desa 1) Anda menemukan ketidaksesuaian data pada laporan site plan perumahan. Tindakan paling tepat adalah ....,Mengabaikan karena target hampir tercapai,Meminta klarifikasi dan perbaikan disertai penelusuran penyebab,Mengumumkan temuan ke media sosial,Menghapus bagian data yang salah tanpa pencatatan,B
128,Kompetensi Manajerial,Integritas,(Desa 2) Anda menemukan ketidaksesuaian data pada laporan sinkronisasi GIS. Tindakan paling tepat adalah ....,Menghapus bagian data yang salah tanpa pencatatan,Mengumumkan temuan ke media sosial,Mengabaikan karena target hampir tercapai,Meminta klarifikasi dan perbaikan disertai penelusuran penyebab,D
129,Kompetensi Manajerial,Pengambilan Keputusan,(Desa 3) Terdapat perbedaan rekomendasi teknis terkait pengawasan pekerjaan. Langkah Anda adalah ....,Memilih rekomendasi tercepat,"Menghimpun data tambahan, menilai risiko, dan memutuskan objektif",Menunda hingga ada instruksi pimpinan,Mengikuti yang paling senior,B
130,Kompetensi Manajerial,Orientasi Hasil,(Desa 4) Target uji material terancam tidak tercapai. Fokus tindakan paling tepat adalah ....,Mengurangi ruang lingkup agar terlihat tercapai,Menyalahkan tim agar lebih disiplin,Menambah jam kerja tanpa evaluasi,Menganalisis hambatan kunci dan menyusun rencana pemulihan terukur,D
131,Kompetensi Manajerial,Integritas,(Kelurahan A) Anda menemukan ketidaksesuaian data pada laporan verifikasi SIMBG. Tindakan paling tepat adalah ....,Mengumumkan temuan ke media sosial,Mengabaikan karena target hampir tercapai,Meminta klarifikasi dan perbaikan disertai penelusuran penyebab,Menghapus bagian data yang salah tanpa pencatatan,C
132,Kompetensi Manajerial,Inovasi,(Kelurahan B) Anda mengusulkan pemanfaatan aplikasi digital untuk site plan perumahan. Langkah awal inovasi yang tepat adalah ....,Menerapkan langsung tanpa pelatihan,Menunggu arahan pusat,Membeli lisensi termahal,"Membuat prototipe kecil, uji terbatas, dan evaluasi",D
133,Kompetensi Manajerial,Pengambilan Keputusan,(Kelurahan C) Terdapat perbedaan rekomendasi teknis terkait sinkronisasi GIS. Langkah Anda adalah ....,Memilih rekomendasi tercepat,Menunda hingga ada instruksi pimpinan,"Menghimpun data tambahan, menilai risiko, dan memutuskan objektif",Mengikuti yang paling senior,C
134,Kompetensi Manajerial,Kolaborasi,"(Kecamatan X) Untuk percepatan pengawasan pekerjaan, diperlukan keterlibatan beberapa pihak. Upaya kolaborasi awal yang tepat adalah ....",Pertemuan lintas pihak untuk menyamakan tujuan dan peran,Menunggu pihak lain menginisiasi,Menentukan pembagian kerja sepihak,Menyusun surat tugas tanpa diskusi,A
135,Kompetensi Manajerial,Pengambilan Keputusan,(Kecamatan Y) Terdapat perbedaan rekomendasi teknis terkait uji material. Langkah Anda adalah ....,Mengikuti yang paling senior,Menunda hingga ada instruksi pimpinan,"Menghimpun data tambahan, menilai risiko, dan memutuskan objektif",Memilih rekomendasi tercepat,C
136,Kompetensi Manajerial,Pengambilan Keputusan,(Kecamatan Z) Terdapat perbedaan rekomendasi teknis terkait verifikasi SIMBG. Langkah Anda adalah ....,Mengikuti yang paling senior,"Menghimpun data tambahan, menilai risiko, dan memutuskan objektif",Memilih rekomendasi tercepat,Menunda hingga ada instruksi pimpinan,B
137,Kompetensi Manajerial,Pengambilan Keputusan,(Desa 1) Terdapat perbedaan rekomendasi teknis terkait site plan perumahan. Langkah Anda adalah ....,"Menghimpun data tambahan, menilai risiko, dan memutuskan objektif",Mengikuti yang paling senior,Memilih rekomendasi tercepat,Menunda hingga ada instruksi pimpinan,A
138,Kompetensi Manajerial,Integritas,(Desa 2) Anda menemukan ketidaksesuaian data pada laporan sinkronisasi GIS. Tindakan paling tepat adalah ....,Mengumumkan temuan ke media sosial,Meminta klarifikasi dan perbaikan disertai penelusuran penyebab,Menghapus bagian data yang salah tanpa pencatatan,Mengabaikan karena target hampir tercapai,B
139,Kompetensi Manajerial,Pengambilan Keputusan,(Desa 3) Terdapat perbedaan rekomendasi teknis terkait pengawasan pekerjaan. Langkah Anda adalah ....,Memilih rekomendasi tercepat,Menunda hingga ada instruksi pimpinan,Mengikuti yang paling senior,"Menghimpun data tambahan, menilai risiko, dan memutuskan objektif",D
140,Kompetensi Manajerial,Integritas,(Desa 4) Anda menemukan ketidaksesuaian data pada laporan uji material. Tindakan paling tepat adalah ....,Menghapus bagian data yang salah tanpa pencatatan,Meminta klarifikasi dan perbaikan disertai penelusuran penyebab,Mengabaikan karena target hampir tercapai,Mengumumkan temuan ke media sosial,B
141,Kompetensi Manajerial,Kolaborasi,"(Kelurahan A) Untuk percepatan verifikasi SIMBG, diperlukan keterlibatan beberapa pihak. Upaya kolaborasi awal yang tepat adalah ....",Pertemuan lintas pihak untuk menyamakan tujuan dan peran,Menentukan pembagian kerja sepihak,Menyusun surat tugas tanpa diskusi,Menunggu pihak lain menginisiasi,A
142,Kompetensi Manajerial,Integritas,(Kelurahan B) Anda menemukan ketidaksesuaian data pada laporan site plan perumahan. Tindakan paling tepat adalah ....,Mengabaikan karena target hampir tercapai,Meminta klarifikasi dan perbaikan disertai penelusuran penyebab,Mengumumkan temuan ke media sosial,Menghapus bagian data yang salah tanpa pencatatan,B
143,Kompetensi Manajerial,Kolaborasi,"(Kelurahan C) Untuk percepatan sinkronisasi GIS, diperlukan keterlibatan beberapa pihak. Upaya kolaborasi awal yang tepat adalah ....",Pertemuan lintas pihak untuk menyamakan tujuan dan peran,Menyusun surat tugas tanpa diskusi,Menunggu pihak lain menginisiasi,Menentukan pembagian kerja sepihak,A
144,Kompetensi Manajerial,Kolaborasi,"(Kecamatan X) Untuk percepatan pengawasan pekerjaan, diperlukan keterlibatan beberapa pihak. Upaya kolaborasi awal yang tepat adalah ....",Menyusun surat tugas tanpa diskusi,Menunggu pihak lain menginisiasi,Pertemuan lintas pihak untuk menyamakan tujuan dan peran,Menentukan pembagian kerja sepihak,C
145,Kompetensi Manajerial,Integritas,(Kecamatan Y) Anda menemukan ketidaksesuaian data pada laporan uji material. Tindakan paling tepat adalah ....,Menghapus bagian data yang salah tanpa pencatatan,Meminta klarifikasi dan perbaikan disertai penelusuran penyebab,Mengabaikan karena target hampir tercapai,Mengumumkan temuan ke media sosial,B
146,Kompetensi Manajerial,Pengambilan Keputusan,(Kecamatan Z) Terdapat perbedaan rekomendasi teknis terkait verifikasi SIMBG. Langkah Anda adalah ....,"Menghimpun data tambahan, menilai risiko, dan memutuskan objektif",Mengikuti yang paling senior,Memilih rekomendasi tercepat,Menunda hingga ada instruksi pimpinan,A
147,Kompetensi Manajerial,Inovasi,(Desa 1) Anda mengusulkan pemanfaatan aplikasi digital untuk site plan perumahan. Langkah awal inovasi yang tepat adalah ....,Menunggu arahan pusat,"Membuat prototipe kecil, uji terbatas, dan evaluasi",Membeli lisensi termahal,Menerapkan langsung tanpa pelatihan,B
148,Kompetensi Manajerial,Pengambilan Keputusan,(Desa 2) Terdapat perbedaan rekomendasi teknis terkait sinkronisasi GIS. Langkah Anda adalah ....,Menunda hingga ada instruksi pimpinan,"Menghimpun data tambahan, menilai risiko, dan memutuskan objektif",Memilih rekomendasi tercepat,Mengikuti yang paling senior,B
149,Kompetensi Manajerial,Kolaborasi,"(Desa 3) Untuk percepatan pengawasan pekerjaan, diperlukan keterlibatan beberapa pihak. Upaya kolaborasi awal yang tepat adalah ....",Menunggu pihak lain menginisiasi,Menentukan pembagian kerja sepihak,Pertemuan lintas pihak untuk menyamakan tujuan dan peran,Menyusun surat tugas tanpa diskusi,C
150,Kompetensi Manajerial,Pengambilan Keputusan,(Desa 4) Terdapat perbedaan rekomendasi teknis terkait uji material. Langkah Anda adalah ....,Mengikuti yang paling senior,Menunda hingga ada instruksi pimpinan,"Menghimpun data tambahan, menilai risiko, dan memutuskan objektif",Memilih rekomendasi tercepat,C
151,Kompetensi Manajerial,Integritas,(Kelurahan A) Anda menemukan ketidaksesuaian data pada laporan verifikasi SIMBG. Tindakan paling tepat adalah ....,Meminta klarifikasi dan perbaikan disertai penelusuran penyebab,Mengabaikan karena target hampir tercapai,Menghapus bagian data yang salah tanpa pencatatan,Mengumumkan temuan ke media sosial,A
152,Kompetensi Manajerial,Kepemimpinan,(Kelurahan B) Anggota tim kesulitan menyelesaikan tugas site plan perumahan. Sikap pemimpin yang tepat adalah ....,Menegur keras agar disiplin,Membiarkan agar belajar mandiri,"Memberi bimbingan, dukungan sumber daya, dan memantau progres",Mendelegasikan tugas ke pihak luar,C
153,Kompetensi Manajerial,Kepemimpinan,(Kelurahan C) Anggota tim kesulitan menyelesaikan tugas sinkronisasi GIS. Sikap pemimpin yang tepat adalah ....,Membiarkan agar belajar mandiri,Menegur keras agar disiplin,"Memberi bimbingan, dukungan sumber daya, dan memantau progres",Mendelegasikan tugas ke pihak luar,C
154,Kompetensi Manajerial,Inovasi,(Kecamatan X) Anda mengusulkan pemanfaatan aplikasi digital untuk pengawasan pekerjaan. Langkah awal inovasi yang tepat adalah ....,"Membuat prototipe kecil, uji terbatas, dan evaluasi",Menerapkan langsung tanpa pelatihan,Membeli lisensi termahal,Menunggu arahan pusat,A
155,Kompetensi Manajerial,Inovasi,(Kecamatan Y) Anda mengusulkan pemanfaatan aplikasi digital untuk uji material. Langkah awal inovasi yang tepat adalah ....,Membeli lisensi termahal,"Membuat prototipe kecil, uji terbatas, dan evaluasi",Menunggu arahan pusat,Menerapkan langsung tanpa pelatihan,B
156,Kompetensi Manajerial,Kolaborasi,"(Kecamatan Z) Untuk percepatan verifikasi SIMBG, diperlukan keterlibatan beberapa pihak. Upaya kolaborasi awal yang tepat adalah ....",Menyusun surat tugas tanpa diskusi,Menunggu pihak lain menginisiasi,Menentukan pembagian kerja sepihak,Pertemuan lintas pihak untuk menyamakan tujuan dan peran,D
